"filename", "language", "Markdown", "CMake", "JSON", "C++", "comment", "blank", "total"
"c:\Users\blake\Programing\Personal Projects\Docme\CMakeLists.txt", "CMake", 0, 59, 0, 0, 9, 14, 82
"c:\Users\blake\Programing\Personal Projects\Docme\CMakePresets.json", "JSON", 0, 0, 62, 0, 0, 1, 63
"c:\Users\blake\Programing\Personal Projects\Docme\LICENCE.md", "Markdown", 17, 0, 0, 0, 0, 5, 22
"c:\Users\blake\Programing\Personal Projects\Docme\README.md", "Markdown", 6, 0, 0, 0, 0, 6, 12
"c:\Users\blake\Programing\Personal Projects\Docme\TASK_AUTOMATION_SETUP.md", "Markdown", 852, 0, 0, 0, 0, 167, 1019
"c:\Users\blake\Programing\Personal Projects\Docme\bin\debug\docme.json", "JSON", 0, 0, 19, 0, 0, 0, 19
"c:\Users\blake\Programing\Personal Projects\Docme\bin\docme.json", "JSON", 0, 0, 19, 0, 0, 0, 19
"c:\Users\blake\Programing\Personal Projects\Docme\docme.json", "JSON", 0, 0, 18, 0, 0, 0, 18
"c:\Users\blake\Programing\Personal Projects\Docme\docme\CMakeLists.txt", "CMake", 0, 52, 0, 0, 6, 6, 64
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\CMakeLists.txt", "CMake", 0, 45, 0, 0, 2, 5, 52
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\app.hpp", "C++", 0, 0, 0, 6, 2, 8, 16
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\app.mpp", "C++", 0, 0, 0, 6, 4, 4, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\commands.cpp", "C++", 0, 0, 0, 35, 25, 20, 80
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\commands.mpp", "C++", 0, 0, 0, 23, 9, 8, 40
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\errors.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\errors.mpp", "C++", 0, 0, 0, 18, 5, 11, 34
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\errors.tpp", "C++", 0, 0, 0, 10, 2, 10, 22
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\warnings.cpp", "C++", 0, 0, 0, 6, 2, 6, 14
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\warnings.mpp", "C++", 0, 0, 0, 18, 5, 11, 34
"c:\Users\blake\Programing\Personal Projects\Docme\docme\app\warnings.tpp", "C++", 0, 0, 0, 10, 2, 10, 22
"c:\Users\blake\Programing\Personal Projects\Docme\docme\cli\CMakeLists.txt", "CMake", 0, 57, 0, 0, 3, 6, 66
